1.6369e+007	2.9576e+029
1.57386e+007	3.29084e+029
1.51304e+007	3.65712e+029
1.45435e+007	4.05853e+029
1.39769e+007	4.49699e+029
1.34299e+007	4.97419e+029
1.29014e+007	5.49144e+029
1.23908e+007	6.04961e+029
1.18972e+007	6.64906e+029
1.14199e+007	7.28946e+029
1.09583e+007	7.96979e+029
1.05117e+007	8.68823e+029
1.00794e+007	9.44218e+029
9.6611e+006	1.02282e+030
9.2561e+006	1.10421e+030
8.864e+006	1.1879e+030
8.4845e+006	1.27336e+030
8.1172e+006	1.35998e+030
7.7616e+006	1.44717e+030
7.4176e+006	1.53431e+030
7.0848e+006	1.62078e+030
6.7631e+006	1.70601e+030
6.4521e+006	1.78946e+030
6.1516e+006	1.87062e+030
5.8616e+006	1.94908e+030
5.5816e+006	2.02447e+030
5.3116e+006	2.09647e+030
5.0514e+006	2.16487e+030
4.8007e+006	2.2295e+030
4.5594e+006	2.29026e+030
4.3274e+006	2.34709e+030
4.1043e+006	2.4e+030
3.89e+006	2.44904e+030
3.6843e+006	2.49431e+030
3.4871e+006	2.53591e+030
3.2981e+006	2.574e+030
3.1172e+006	2.60874e+030
2.9441e+006	2.64031e+030
2.7786e+006	2.66889e+030
2.6206e+006	2.69469e+030
2.4699e+006	2.7179e+030
2.3262e+006	2.73871e+030
2.1893e+006	2.75732e+030
2.0591e+006	2.77391e+030
1.9353e+006	2.78865e+030
1.8177e+006	2.80173e+030
1.7062e+006	2.81328e+030
1.6005e+006	2.82347e+030
1.5004e+006	2.83243e+030
1.4057e+006	2.84029e+030
1.3162e+006	2.84717e+030
1.2317e+006	2.85316e+030
1.152e+006	2.85838e+030
1.0768e+006	2.86291e+030
1.006e+006	2.86682e+030
939400	2.87018e+030
876800	2.87307e+030
818000	2.87553e+030
762800	2.87761e+030
711100	2.87936e+030
662500	2.88082e+030
617100	2.88202e+030
574500	2.88299e+030
534800	2.88375e+030
497600	2.88432e+030
462800	2.88473e+030
430400	2.88499e+030
400100	2.88511e+030
371800	2.8851e+030
345500	2.88497e+030
320900	2.88473e+030
298100	2.88438e+030
276800	2.88393e+030
256900	2.88338e+030
238500	2.88273e+030
221300	2.88198e+030
205400	2.88112e+030
190500	2.88017e+030
176800	2.8791e+030
163900	2.87793e+030
152000	2.87664e+030
141000	2.87523e+030
130700	2.87369e+030
121200	2.87201e+030
112300	2.87019e+030
104100	2.86821e+030
96500	2.86606e+030
89400	2.86374e+030
82800	2.86123e+030
76800	2.85852e+030
71100	2.85558e+030
65900	2.85241e+030
61000	2.84898e+030
56500	2.84528e+030
52300	2.84129e+030
48500	2.83698e+030
44900	2.83233e+030
41600	2.82731e+030
38500	2.8219e+030
35600	2.81606e+030
